Dosing,Data,Dose_Timing,Ref_ID,Temporal_ID,Time,Converted_Concentration,Metabolite,Dose_Amount,Dose_mg_daily,Dose_Binary,Feeding_State,Sex_Ratio,Sex_Binary,Age_Cont,Age_Binary,Weight,Number,Disease,Disease_Binary,Drug,Drug_Binary,Drug_Reduced,Raw_Concentration,Raw_Units,Unit_Notes,Other_Notes
Single,Single,0,2,1,0,0,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,0,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,1,55.6684,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,55.6684,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,2,88.2522,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,88.2522,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,3,121.3611,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,121.3611,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,4,117.7255,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,117.7255,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,6,94.6872,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,94.6872,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,8,109.9755,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,109.9755,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,12,94.351,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,94.351,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,24,71.1369,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,71.1369,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
Single,Single,0,2,1,36,58.4008,AlbSO,400,400,Low,Fasted,1,Male,36,Adult,56,14,Onchocerciasis,Infected,None,None,None,58.4008,ug/l,"No conversion required. Ng --> ug = / 1000, l -> ml = *1000",
